antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'#tagderjugend'}),frozenset({'#jugendmitmerkel'}),0.0005702246990791889,0.0006493094341300527,0.0005692064406879761,0.9982142857142857,1537.3475776641026,0.00056883618841129,559.6363867168891,0.9999197079250866
frozenset({'#world'}),frozenset({'#news'}),0.009376462685751544,0.04447786594764047,0.009334714091711818,0.9955475113122172,22.38298736014403,0.008917669041311908,214.6040565300522,0.9643655487385944
frozenset({'#тюмень'}),frozenset({'#новости'}),0.0005362827527054277,0.0036317882619924533,0.0005227059741559232,0.9746835443037973,268.3756524310895,0.0005207583087495386,39.35654436365109,0.9968084507552495
frozenset({'#sandiego'}),frozenset({'#local'}),0.0008308988472296754,0.008855793228378046,0.0007922050283635874,0.9534313725490196,107.6618827880698,0.0007848467599788238,21.283517703306384,0.9915355273277281
frozenset({'#jugendmitmerkel'}),frozenset({'#tagderjugend'}),0.0006493094341300527,0.0005702246990791889,0.0005692064406879761,0.8766335598536329,1537.3475776641026,0.00056883618841129,8.101310000638387,0.9999988376899629
frozenset({'#stopthegop'}),frozenset({'#gopdebate'}),0.0006571160817960177,0.0013556413381680243,0.0005580055983846349,0.8491735537190084,626.3998668457232,0.0005571147846601773,6.621148898525028,0.999060074091796
frozenset({'#brussels'}),frozenset({'#islamkills'}),0.0007474016591502227,0.0013868679288318844,0.0006106156152639648,0.8169845594913714,589.0860567952509,0.0006095790678729336,5.456441977222608,0.9990491461426583
frozenset({'#stopislam'}),frozenset({'#islamkills'}),0.0006313202025519591,0.0013868679288318844,0.0005023408063316665,0.7956989247311829,573.7380670424582,0.0005014652485899235,4.887948488558877,0.9988876623210143
"frozenset({'#pjnet', '#ccot'})",frozenset({'#tcot'}),0.0007239817161523274,0.005321418352478288,0.0005586844373121101,0.7716830754805438,145.01454769500614,0.0005548318277209184,4.356569639946948,0.9938236502819956
frozenset({'#demdebate'}),frozenset({'#demndebate'}),0.0012008660627036729,0.0013994264489901763,0.0008998009983684106,0.7492933860938383,535.4289156350641,0.0008981204746385683,3.9831441141189097,0.9993324028150801
frozenset({'#miami'}),frozenset({'#local'}),0.0015623477915842302,0.008855793228378046,0.001142146495477066,0.7310449706713014,82.54991414306016,0.001128310666483983,3.6851670305087048,0.989431953847266
frozenset({'#политика'}),frozenset({'#новости'}),0.0007592813403810391,0.0036317882619924533,0.0005308520412856259,0.6991506481895395,192.5086480140709,0.0005280944922260802,3.3118509504575373,0.9955613393181765
frozenset({'#ccot'}),frozenset({'#tcot'}),0.0019893374769661466,0.005321418352478288,0.0013719334724274295,0.6896434055621907,129.59766736644758,0.001361347375468229,3.204953912609194,0.9942617338648959
frozenset({'#рф'}),frozenset({'#новости'}),0.0009042134513969996,0.0036317882619924533,0.0005980570951056732,0.6614114114114115,182.11728319440937,0.0005947731833065539,2.9427105499667987,0.9954090952504653
frozenset({'#demndebate'}),frozenset({'#demdebate'}),0.0013994264489901763,0.0012008660627036729,0.0008998009983684106,0.6429784137763763,535.428915635064,0.0008981204746385683,2.797587519852902,0.9995311087173068
frozenset({'#may'}),frozenset({'#topl'}),0.0009201661661926674,0.0014645949860277979,0.0005525748869648331,0.600516414607156,410.02217018088186,0.0005512272162115149,2.4995655429297123,0.9984798748879794
frozenset({'#us'}),frozenset({'#news'}),0.0009775280555643238,0.04447786594764047,0.0005485018533999817,0.5611111111111111,12.615513338064678,0.0005050234915845341,2.177139039612971,0.9216334386761701
frozenset({'#trumptrain'}),frozenset({'#maga'}),0.0010698501497009546,0.005492146342738307,0.0005702246990791889,0.532994923857868,97.04674467798762,0.0005643489254922308,2.129543990983484,0.9907556474156147
frozenset({'#turkey'}),frozenset({'#kochfarms'}),0.0012100303882245885,0.0013956928348890624,0.0005827832192374806,0.4816269284712482,345.0808920356252,0.0005810943884946375,1.9264201055430845,0.9983101143134675
frozenset({'#chicago'}),frozenset({'#news'}),0.0011642087606200107,0.04447786594764047,0.0005396769473428038,0.4635568513119534,10.42219183487028,0.0004878954261528783,1.7812178911954315,0.9051046236878939
frozenset({'#islamkills'}),frozenset({'#brussels'}),0.0013868679288318844,0.0007474016591502227,0.0006106156152639648,0.4402838962310328,589.0860567952509,0.0006095790678729336,1.7852847034633634,0.9996888916158501
frozenset({'#kochfarms'}),frozenset({'#turkey'}),0.0013956928348890624,0.0012100303882245885,0.0005827832192374806,0.4175583657587549,345.0808920356252,0.0005810943884946375,1.71483271609337,0.9984957220632273
frozenset({'#gopdebate'}),frozenset({'#stopthegop'}),0.0013556413381680243,0.0006571160817960177,0.0005580055983846349,0.41161742613920876,626.3998668457231,0.0005571147846601773,1.6984576503699176,0.9997588901300912
"frozenset({'#ccot', '#tcot'})",frozenset({'#pjnet'}),0.0013719334724274295,0.004508169317362969,0.0005586844373121101,0.40722414646214744,90.33026885076073,0.0005524995289262495,1.6793731133636138,0.9902881231654493
frozenset({'#pjnet'}),frozenset({'#tcot'}),0.004508169317362969,0.005321418352478288,0.0017408824295102143,0.3861617226321337,72.56744293601548,0.0017168925745687195,1.6204244966812686,0.9906858953820484
frozenset({'#cleveland'}),frozenset({'#news'}),0.0022846324104178694,0.04447786594764047,0.0008780781526892034,0.3843411083048581,8.641176911619503,0.0007764625785990027,1.5520317288384247,0.8862998923842811
frozenset({'#topl'}),frozenset({'#may'}),0.0014645949860277979,0.0009201661661926674,0.0005525748869648331,0.37728852838933946,410.0221701808818,0.0005512272162115149,1.6044024871577516,0.9990242734312706
frozenset({'#wakeupamerica'}),frozenset({'#tcot'}),0.0015022705465026728,0.005321418352478288,0.0005563085010659468,0.3703117939448712,69.58892712737193,0.0005483142910093999,1.579636671105824,0.9871128082232696
frozenset({'#ccot'}),frozenset({'#pjnet'}),0.0019893374769661466,0.004508169317362969,0.0007239817161523274,0.36393106978331347,80.72701892132861,0.0007150134459767884,1.5650691039782554,0.9895811846036693
frozenset({'#islamkills'}),frozenset({'#stopislam'}),0.0013868679288318844,0.0006313202025519591,0.0005023408063316665,0.36221243269701425,573.7380670424583,0.0005014652485899235,1.5669303245020616,0.999643417756065
frozenset({'#2a'}),frozenset({'#tcot'}),0.0015368913318039093,0.005321418352478288,0.000550877789646145,0.35843639575971725,67.35730439099689,0.0005426993479073188,1.5503974587607496,0.9866702050703514
frozenset({'#cleveland'}),frozenset({'#politics'}),0.0022846324104178694,0.013537066472247198,0.0007881319947987362,0.34497102956470066,25.483440616320937,0.0007572047739942591,1.505983671030915,0.9629588379682369
frozenset({'#tcot'}),frozenset({'#pjnet'}),0.005321418352478288,0.004508169317362969,0.0017408824295102143,0.3271463196836331,72.56744293601548,0.0017168925745687195,1.4795071496295746,0.9914958799975684
frozenset({'#merkel'}),frozenset({'#merkelmussbleiben'}),0.0016214067782745747,0.001997822963559587,0.0005288155245032002,0.32614611680971317,163.2507598313956,0.0005255762408082921,1.4810364708614712,0.9954885461145393
"frozenset({'#pjnet', '#tcot'})",frozenset({'#ccot'}),0.0017408824295102143,0.0019893374769661466,0.0005586844373121101,0.32092025736010915,161.3201686872812,0.0005552212346520935,1.4696516474535286,0.9955342551648702
frozenset({'#ccot'}),"frozenset({'#pjnet', '#tcot'})",0.0019893374769661466,0.0017408824295102143,0.0005586844373121101,0.2808394471933117,161.3201686872812,0.0005552212346520935,1.388089368465158,0.9957820937099872
frozenset({'#merkelmussbleiben'}),frozenset({'#merkel'}),0.001997822963559587,0.0016214067782745747,0.0005288155245032002,0.26469588854909953,163.2507598313956,0.0005255762408082921,1.357776432463742,0.9958640142343945
frozenset({'#tcot'}),frozenset({'#ccot'}),0.005321418352478288,0.0019893374769661466,0.0013719334724274295,0.25781349661946673,129.59766736644758,0.001361347375468229,1.344689856225174,0.9975924183390478
frozenset({'#news'}),frozenset({'#world'}),0.04447786594764047,0.009376462685751544,0.009334714091711818,0.20987324577803895,22.38298736014403,0.008917669041311908,1.25375268211202,0.9997918175939124
frozenset({'#новости'}),frozenset({'#рф'}),0.0036317882619924533,0.0009042134513969996,0.0005980570951056732,0.16467289719626169,182.11728319440937,0.0005947731833065539,1.19605335825353,0.9981340444634744
frozenset({'#local'}),frozenset({'#news'}),0.008855793228378046,0.04447786594764047,0.0014282771034078733,0.16128166800812543,3.6261107535596895,0.0010343903193360524,1.1392646346277986,0.7306933021527657
frozenset({'#pjnet'}),frozenset({'#ccot'}),0.004508169317362969,0.0019893374769661466,0.0007239817161523274,0.16059328414395424,80.72701892132861,0.0007150134459767884,1.1889476741977698,0.9920850610992985
frozenset({'#business'}),frozenset({'#news'}),0.0037071393829422035,0.04447786594764047,0.0005844803165561686,0.15766343160593296,3.5447616077519326,0.00041959466803244666,1.1343709508825948,0.7205648161590903
frozenset({'#новости'}),frozenset({'#политика'}),0.0036317882619924533,0.0007592813403810391,0.0005308520412856259,0.14616822429906542,192.5086480140709,0.0005280944922260802,1.1703016297786693,0.99843152004493
frozenset({'#новости'}),frozenset({'#тюмень'}),0.0036317882619924533,0.0005362827527054277,0.0005227059741559232,0.14392523364485982,268.3756524310895,0.0005207583087495386,1.1674958269155078,0.9999053239941441
frozenset({'#local'}),frozenset({'#miami'}),0.008855793228378046,0.0015623477915842302,0.001142146495477066,0.12897167605687787,82.54991414306018,0.001128310666483983,1.1462746098640224,0.9967127994795183
frozenset({'#pjnet'}),"frozenset({'#ccot', '#tcot'})",0.004508169317362969,0.0013719334724274295,0.0005586844373121101,0.12392711940972745,90.33026885076073,0.0005524995289262495,1.1398915417342057,0.993407965049592
frozenset({'#tcot'}),frozenset({'#maga'}),0.005321418352478288,0.005492146342738307,0.0006068820011628511,0.11404515882127822,20.765134740458663,0.0005776559928201069,1.1225265752079587,0.9569346037464738
frozenset({'#maga'}),frozenset({'#tcot'}),0.005492146342738307,0.005321418352478288,0.0006068820011628511,0.11049996909956121,20.765134740458663,0.0005776559928201069,1.1182445723364516,0.9570988815056761
frozenset({'#tcot'}),"frozenset({'#pjnet', '#ccot'})",0.005321418352478288,0.0007239817161523274,0.0005586844373121101,0.10498788110728408,145.01454769500614,0.0005548318277209184,1.116494399562013,0.9984171353978466
frozenset({'#tcot'}),frozenset({'#wakeupamerica'}),0.005321418352478288,0.0015022705465026728,0.0005563085010659468,0.1045413955861717,69.58892712737193,0.0005483142910093999,1.1150685520601133,0.9909029066383095
frozenset({'#maga'}),frozenset({'#trumptrain'}),0.005492146342738307,0.0010698501497009546,0.0005702246990791889,0.10382547432173536,97.04674467798762,0.0005643489254922308,1.114660282375539,0.9951612586047913
frozenset({'#tcot'}),frozenset({'#2a'}),0.005321418352478288,0.0015368913318039093,0.000550877789646145,0.10352085725220052,67.35730439099689,0.0005426993479073188,1.1137605562219834,0.9904242620295332
frozenset({'#local'}),frozenset({'#sandiego'}),0.008855793228378046,0.0008308988472296754,0.0007922050283635874,0.08945613429918363,107.6618827880698,0.0007848467599788238,1.0973321975913175,0.9995635900733894
frozenset({'#politics'}),frozenset({'#cleveland'}),0.013537066472247198,0.0022846324104178694,0.0007881319947987362,0.058220294361005946,25.48344061632094,0.0007572047739942591,1.0593935732694897,0.9739431643531556
frozenset({'#news'}),frozenset({'#local'}),0.04447786594764047,0.008855793228378046,0.0014282771034078733,0.03211208705672271,3.626110753559689,0.0010343903193360524,1.0240278791762405,0.7579337071807225
frozenset({'#news'}),frozenset({'#cleveland'}),0.04447786594764047,0.0022846324104178694,0.0008780781526892034,0.019741912836440504,8.641176911619503,0.0007764625785990027,1.0178088614158098,0.9254364618165242
frozenset({'#news'}),frozenset({'#business'}),0.04447786594764047,0.0037071393829422035,0.0005844803165561686,0.013140925359238711,3.544761607751932,0.00041959466803244666,1.0095594054092583,0.7513102589330559
frozenset({'#news'}),frozenset({'#us'}),0.04447786594764047,0.0009775280555643238,0.0005485018533999817,0.012332018223304157,12.615513338064677,0.0005050234915845341,1.0114962622837227,0.9635909868755221
frozenset({'#news'}),frozenset({'#chicago'}),0.04447786594764047,0.0011642087606200107,0.0005396769473428038,0.012133607039018323,10.42219183487028,0.0004878954261528783,1.0111041314458722,0.9461328636330467
